line,station,year,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
1호선,동대문,2018.0,621.0833333333334,12.166666666666666,15057.083333333334,2303.6666666666665,11874.333333333334,8256.25,18635.75,14603.083333333334,25876.25,31056.5,24199.333333333332,31195.916666666668,21957.75,31978.416666666668,23179.333333333332,37326.666666666664,29067.25,38052.833333333336,31956.416666666668,37348.083333333336,33485.5,35763.25,33793.25,33886.833333333336,34139.833333333336,31210.75,34769.583333333336,31572.916666666668,33942.416666666664,31705.583333333332,24150.666666666668,32332.75,19218.583333333332,24525.416666666668,17604.75,19100.75,15337.916666666666,17272.0,8530.5,14213.166666666666,1042.5,4668.166666666667,14.25,92.66666666666667,0.0,1.25,0.0,0.0,508479.0833333333,459851.25,37.571419999999996,127.00974500000005
1호선,동묘앞,2018.0,109.91666666666667,5.5,3339.0,892.8333333333334,3793.3333333333335,3926.0833333333335,7093.25,10833.916666666666,9898.166666666666,27205.416666666668,9736.416666666666,18863.25,10946.0,20490.833333333332,15621.166666666666,27574.5,20979.416666666668,31786.083333333332,27694.416666666668,36034.0,32870.25,35092.416666666664,36350.083333333336,30082.333333333332,37706.5,23127.916666666668,35070.833333333336,17864.416666666668,29719.083333333332,13010.0,14890.083333333334,9166.333333333334,8266.0,6542.416666666667,6925.833333333333,6671.416666666667,4851.166666666667,7036.916666666667,2459.75,4948.916666666667,278.75,3396.0833333333335,4.333333333333333,276.1666666666667,0.4166666666666667,11.083333333333334,0.0,0.0,334838.8333333333,320512.25,37.572627000000004,127.01642900000002
1호선,시청,2018.0,83.58333333333333,10.166666666666666,2448.25,4303.25,3760.3333333333335,22267.083333333332,7755.166666666667,69428.5,10294.25,184638.41666666666,13500.166666666666,82402.16666666667,16863.416666666668,46110.0,22917.0,43164.25,25736.583333333332,40813.833333333336,32457.583333333332,44661.083333333336,39450.416666666664,38352.75,49878.0,32767.583333333332,55539.25,28673.083333333332,76297.41666666667,29172.916666666668,151280.41666666666,30529.166666666668,73523.5,17442.416666666668,56640.583333333336,9794.25,59002.083333333336,8633.916666666666,39222.416666666664,7013.916666666667,14970.666666666666,4431.25,1211.9166666666667,1370.9166666666667,20.25,29.583333333333332,0.16666666666666666,1.1666666666666667,0.0,0.0,746011.6666666666,754787.8333333334,37.56471800000002,126.97710800000003
1호선,신설동,2018.0,275.6666666666667,27.25,9251.5,2466.4166666666665,10618.0,8592.166666666666,21305.25,28573.833333333332,29903.916666666668,72450.16666666667,22781.5,41743.583333333336,21177.916666666668,26242.416666666668,23537.5,24010.25,25575.75,23184.5,27632.25,24624.25,27374.666666666668,22955.833333333332,29593.583333333332,23617.583333333332,33242.0,23544.916666666668,42528.583333333336,29207.25,67496.0,30672.416666666668,31190.166666666668,25359.083333333332,20436.916666666668,17087.166666666668,18491.25,16425.083333333332,13958.75,16229.0,6124.083333333333,11870.666666666666,635.5833333333334,2986.5,3.5,33.416666666666664,0.0,0.08333333333333333,0.0,0.0,471903.8333333333,484876.6666666667,37.57529699999995,127.025087
1호선,제기동,2018.0,419.0,6.416666666666667,5053.916666666667,2396.5,9412.5,8928.833333333334,23787.416666666668,19855.833333333332,33623.083333333336,50304.916666666664,25755.75,41904.083333333336,28218.0,43671.583333333336,36585.0,54423.5,43532.166666666664,61596.0,49345.833333333336,65729.66666666667,55494.916666666664,59140.166666666664,63546.083333333336,50148.583333333336,64361.166666666664,39015.833333333336,56317.416666666664,32385.166666666668,52467.25,29986.666666666668,28216.833333333332,23794.5,17392.25,14467.833333333334,12982.5,12936.833333333334,8711.833333333334,12173.083333333334,3862.75,8757.083333333334,293.0833333333333,1995.4166666666667,4.583333333333333,21.833333333333332,0.0,0.0,0.0,0.0,633640.3333333334,620982.3333333334,37.578103000000006,127.034893
1호선,종각,2018.0,100.25,3.3333333333333335,4280.333333333333,4984.083333333333,4817.916666666667,28236.083333333332,7112.166666666667,98928.58333333333,12383.5,267266.0833333333,15943.333333333334,157129.83333333334,21567.0,77194.83333333333,33764.166666666664,71858.08333333333,41802.75,67825.41666666667,57095.333333333336,70735.66666666667,66249.58333333333,60472.25,79454.83333333333,53982.5,90265.58333333333,54211.083333333336,130507.08333333333,62573.166666666664,236534.33333333334,81499.16666666667,128511.75,53020.833333333336,107181.5,20935.5,126525.0,13361.666666666666,105644.33333333333,9567.083333333334,50127.666666666664,6562.083333333333,5267.416666666667,1597.5833333333333,94.5,20.916666666666668,1.1666666666666667,1.0,0.0,0.0,1261966.8333333333,1327149.25,37.57016099999999,126.98292300000001
1호선,종로3가,2018.0,174.91666666666666,12.25,5635.833333333333,2707.1666666666665,4452.666666666667,12655.25,6602.333333333333,29297.333333333332,10925.5,82902.0,15692.5,93746.08333333333,25300.333333333332,79912.16666666667,40486.833333333336,86050.25,53578.416666666664,87139.5,67415.66666666667,87859.66666666667,74926.08333333333,78722.91666666667,83721.41666666667,65050.75,91990.33333333333,56516.416666666664,99235.08333333333,54777.416666666664,122414.41666666667,60017.5,92275.0,38026.833333333336,67524.58333333333,15850.333333333334,74090.66666666667,11488.666666666666,61711.333333333336,9061.416666666666,27745.166666666668,6291.75,3522.4166666666665,2704.1666666666665,48.666666666666664,62.166666666666664,0.25,1.4166666666666667,0.0,0.0,960853.4166666666,1031313.5,37.57160699999994,126.99180600000001
1호선,종로5가,2018.0,46.5,1.8333333333333333,2142.9166666666665,3607.0833333333335,3192.9166666666665,16814.5,5480.0,41857.75,9606.75,119825.75,13799.916666666666,75912.58333333333,22365.333333333332,61149.666666666664,32839.333333333336,64860.833333333336,43733.583333333336,63045.916666666664,54966.75,58913.416666666664,63006.166666666664,54678.833333333336,67376.33333333333,48235.166666666664,69972.91666666667,42919.916666666664,82955.75,39475.833333333336,116939.83333333333,37274.5,69590.08333333333,23646.166666666668,45075.583333333336,11298.0,37582.75,7975.333333333333,28928.916666666668,5704.5,10919.083333333334,3752.0833333333335,811.8333333333334,1101.5833333333333,6.833333333333333,13.583333333333334,0.25,0.4166666666666667,0.0,0.0,782065.25,783311.8333333334,37.57092599999999,127.00184899999999
2호선,강남,2018.0,283.8333333333333,9.333333333333334,16058.166666666666,12159.333333333334,24870.0,57430.916666666664,47494.5,176477.5,76833.83333333333,354052.6666666667,66053.08333333333,364954.9166666667,66091.33333333333,185188.0,88588.66666666667,155969.75,115188.33333333333,157260.5,150777.5,190479.41666666666,153190.33333333334,164788.5,182838.0,157099.91666666666,206351.0,161982.16666666666,263540.75,195757.91666666666,398751.4166666667,275638.5,275676.9166666667,213607.91666666666,223143.58333333334,99191.83333333333,273241.9166666667,74204.75,292638.4166666667,64754.416666666664,134968.0,40729.583333333336,24151.583333333332,12471.083333333334,114.08333333333333,273.1666666666667,29.583333333333332,51.916666666666664,3.5,11.75,3114545.75,3082612.5,37.49717499999998,127.02792599999998
2호선,건대입구,2018.0,320.6666666666667,12.583333333333334,20432.75,2053.3333333333335,26929.666666666668,16451.166666666668,63399.416666666664,29022.083333333332,111013.66666666667,73871.41666666667,72945.33333333333,56679.75,45190.166666666664,54360.083333333336,44735.583333333336,58007.5,52599.333333333336,71181.5,59491.333333333336,78504.25,60783.916666666664,78289.0,66428.58333333333,83423.08333333333,75671.91666666667,96625.58333333333,88626.5,127154.83333333333,105411.83333333333,192724.66666666666,85299.66666666667,161602.0,85345.0,92086.58333333333,98516.0,79863.16666666667,103831.33333333333,73968.0,65942.66666666667,46394.083333333336,11245.166666666666,16197.833333333334,62.75,1483.5833333333333,9.416666666666666,44.833333333333336,1.5833333333333333,9.583333333333334,1490010.5,1345931.5833333333,37.54069299999997,127.07023000000004
